country,bug_drug,syndrome,model,inc_low,inc_median,inc_high
Malta ,MRSA,RESP,62,14.39,16.29,18.14
Malta ,MRSA,SSI,64,15.72,17.75,19.7
Malta ,MRSA,UTI,63,2.09,2.65,3.18
Netherlands ,MRSA,BSI,61,0.24,0.25,0.27
Netherlands ,MRSA,OTH,65,0.33,0.37,0.41
Netherlands ,MRSA,RESP,62,0.34,0.38,0.42
Netherlands ,MRSA,SSI,64,0.37,0.41,0.45
Netherlands ,MRSA,UTI,63,0.05,0.06,0.07
Norway ,MRSA,BSI,61,0.32,0.34,0.36
Norway ,MRSA,OTH,65,0.45,0.5,0.55
Norway ,MRSA,RESP,62,0.45,0.51,0.56
Norway ,MRSA,SSI,64,0.49,0.55,0.61
Norway ,MRSA,UTI,63,0.07,0.08,0.1
Poland ,MRSA,BSI,61,2.78,2.9,3.03
Poland ,MRSA,OTH,65,3.95,4.28,4.61
Poland ,MRSA,RESP,62,4,4.37,4.75
Poland ,MRSA,SSI,64,4.38,4.75,5.13
Poland ,MRSA,UTI,63,0.59,0.71,0.81
Portugal ,MRSA,BSI,61,16.53,17.38,18.31
Portugal ,MRSA,OTH,65,23.03,25.65,28.11
Portugal ,MRSA,RESP,62,23.54,26.13,28.8
Portugal ,MRSA,SSI,64,25.89,28.55,31.19
Portugal ,MRSA,UTI,63,3.43,4.25,4.99
Romania ,MRSA,BSI,61,5.56,6.01,6.5
Romania ,MRSA,OTH,65,8.01,9.04,10.02
Romania ,MRSA,RESP,62,8.18,9.2,10.21
Romania ,MRSA,SSI,64,8.93,9.99,11.13
Romania ,MRSA,UTI,63,1.25,1.53,1.81
Slovakia ,MRSA,BSI,61,3.94,4.13,4.31
Slovakia ,MRSA,OTH,65,5.61,6.08,6.58
Slovakia ,MRSA,RESP,62,5.64,6.17,6.75
Slovakia ,MRSA,SSI,64,6.25,6.77,7.34
Slovakia ,MRSA,UTI,63,0.86,1.01,1.17
Slovenia ,MRSA,BSI,61,2.25,2.38,2.52
Slovenia ,MRSA,OTH,65,3.15,3.5,3.88
Slovenia ,MRSA,RESP,62,3.18,3.59,3.99
Slovenia ,MRSA,SSI,64,3.51,3.91,4.3
Slovenia ,MRSA,UTI,63,0.47,0.58,0.7
Spain ,MRSA,BSI,61,3.34,3.58,3.85
Spain ,MRSA,OTH,65,4.74,5.33,5.91
Spain ,MRSA,RESP,62,4.81,5.44,6.12
Spain ,MRSA,SSI,64,5.28,5.93,6.53
Spain ,MRSA,UTI,63,0.72,0.89,1.07
Sweden ,MRSA,BSI,61,0.32,0.34,0.36
Sweden ,MRSA,OTH,65,0.45,0.5,0.55
Sweden ,MRSA,RESP,62,0.46,0.51,0.56
Sweden ,MRSA,SSI,64,0.51,0.56,0.62
Sweden ,MRSA,UTI,63,0.07,0.08,0.1
United Kingdom ,MRSA,BSI,61,1.73,1.81,1.9
United Kingdom ,MRSA,OTH,65,2.45,2.68,2.91
United Kingdom ,MRSA,RESP,62,2.46,2.73,2.98
United Kingdom ,MRSA,SSI,64,2.72,2.97,3.24
United Kingdom ,MRSA,UTI,63,0.37,0.44,0.52
