country,infection_per_100000,J01 C antibacterials_for_systemic ,J01 H antibacterials_for_systemic ,J01 CH antibacterials_for_systemic ,J01A C tetracyclines,J01A H tetracyclines,J01A CH tetracyclines,J01B C amphenicols,J01B H amphenicols,J01B CH amphenicols,J01C C b-lactam,J01C H b-lactam,J01C CH b-lactam,J01CA C penicillins_with_extended_spectrum,J01CA H penicillins_with_extended_spectrum,J01CA CH penicillins_with_extended_spectrum,J01CE C blactamase_sensitive_penicillins,J01CE H blactamase_sensitive_penicillins,J01CE CH blactamase_sensitive_penicillins,J01CF C blactamase_resistant_penicillins,J01CF H blactamase_resistant_penicillins,J01CF CH blactamase_resistant_penicillins,J01CG C blactamase_inhibitors,J01CG H blactamase_inhibitors,J01CG CH blactamase_inhibitors,J01CR C combination_penicillins_incl_blactamase_inhibitors,J01CR H combination_penicillins_incl_blactamase_inhibitors,J01CR CH combination_penicillins_incl_blactamase_inhibitors,J01D C other_blactams,J01D H other_blactams,J01D CH other_blactams,J01DB C 1G_cephalosporins,J01DB H 1G_cephalosporins,J01DB CH 1G_cephalosporins,J01DC C 2G_cephalosporins,J01DC H 2G_cephalosporins,J01DC CH 2G_cephalosporins,J01DD C 3G_cephalosporins,J01DD H 3G_cephalosporins,J01DD CH 3G_cephalosporins,J01DE C 4G_cephalosporin,J01DE H 4G_cephalosporin,J01DE CH 4G_cephalosporin,J01DF C monobactams,J01DF H monobactams,J01DF CH monobactams,J01DH C carbapenems,J01DH H carbapenems,J01DH CH carbapenems,J01DI C other_cephalosporins_and_penems,J01DI H other_cephalosporins_and_penems,J01DI CH other_cephalosporins_and_penems,J01E C sulfonamides_and_trimethoprim,J01E H sulfonamides_and_trimethoprim,J01E CH sulfonamides_and_trimethoprim,J01EA C trimethoprim_and_derivatives,J01EA H trimethoprim_and_derivatives,J01EA CH trimethoprim_and_derivatives,J01EB C short_acting_sulfonamides,J01EB H short_acting_sulfonamides,J01EB CH short_acting_sulfonamides,J01EC C intermediate_acting_sulfonamides,J01EC H intermediate_acting_sulfonamides,J01EC CH intermediate_acting_sulfonamides,J01EE C sulfonamides_and_trimethoprim,J01EE H sulfonamides_and_trimethoprim,J01EE CH sulfonamides_and_trimethoprim,J01F C macrolides_lincosamides_streptogramins,J01F H macrolides_lincosamides_streptogramins,J01F CH macrolides_lincosamides_streptogramins,JJ C short_acting_macrolides,JJ H short_acting_macrolides,JJ CH short_acting_macrolides,JJ C intermediate_acting_macrolides,JJ H intermediate_acting_macrolides,JJ CH intermediate_acting_macrolides,JJ C long_acting_macrolides,JJ H long_acting_macrolides,JJ CH long_acting_macrolides,J01FA C macrolides,J01FA H macrolides,J01FA CH macrolides,J01FF C lincosamides,J01FF H lincosamides,J01FF CH lincosamides,J01FG C streptogramins,J01FG H streptogramins,J01FG CH streptogramins,J01G C aminoglycosides,J01G H aminoglycosides,J01G CH aminoglycosides,J01GB C other_aminoglycosides,J01GB H other_aminoglycosides,J01GB CH other_aminoglycosides,J01M C Quinolones,J01M H Quinolones,J01M CH Quinolones,JJ C 1G_quinolones,JJ H 1G_quinolones,JJ CH 1G_quinolones,JJ C 2G_quinolones,JJ H 2G_quinolones,JJ CH 2G_quinolones,JJ C 3G_quinolones,JJ H 3G_quinolones,JJ CH 3G_quinolones,J01MA C fluoroquinolones,J01MA H fluoroquinolones,J01MA CH fluoroquinolones,J01MB C other_quinolones,J01MB H other_quinolones,J01MB CH other_quinolones,J01XA C glycopeptides,J01XA H glycopeptides,J01XA CH glycopeptides,J01XB C polymyxins,J01XB H polymyxins,J01XB CH polymyxins,J01XC C steroid_antibacterials,J01XC H steroid_antibacterials,J01XC CH steroid_antibacterials,J01XD C imadazole,J01XD H imadazole,J01XD CH imadazole,J01XE C nitrofuran,J01XE H nitrofuran,J01XE CH nitrofuran
Netherlands,1.47,9.5,0.87,10.4,2.25,0.025,2.28,0,0.00001,0.00001,3.1,0.33,3.5,1.42,0.055,1.48,0.23,0.028,0.26,0.43,0.097,0.53,0,0,0,1.04,0.153,1.19,0.04,0.202,0.24,0,0.055,0.06,0.02,0.065,0.09,0.01,0.067,0.07,0,0,0,0.0022,0.0001,0.0023,0.001,0.014,0.015,0,0,0,0.43,0.025,0.45,0.14,0.003,0.15,0,0,0,0.0015,0.0002,0.0017,0.281,0.021,0.302,1.39,0.064,1.45,0.049,0.0104,0.059,0.35,0.007,0.36,0.8,0.0167,0.81,1.2,0.034,1.23,0.19,0.03,0.219,0,0,0,0.027,0.046,0.073,0.027,0.046,0.073,0.77,0.099,0.87,0.074,0.003,0.077,0.67,0.092,0.76,0.026,0.0046,0.03,0.77,0.099,0.87,0.0037,0,0.0037,0.0009,0.0185,0.019,0.0063,0.0027,0.009,0.0008,0.0001,0.0008,0.001,0.032,0.033,1.4,0.018,1.42
Norway,1.98,15.4,1.36,16.8,3.08,0.072,3.15,0,0.00009,0.00009,6.1,0.68,6.8,2.19,0.205,2.39,3.24,0.243,3.48,0.64,0.16,0.8,0,0,0,0.01,0.073,0.08,0.08,0.269,0.35,0.07,0.086,0.16,0,0.032,0.03,0.01,0.124,0.13,0,0,0,0.0004,0.0002,0.0007,0.001,0.027,0.028,0,0.00011,0.00011,0.67,0.057,0.73,0.34,0.0091,0.35,0,0,0,0,0,0,0.33,0.047,0.377,1.31,0.067,1.38,0.601,0.0159,0.617,0.17,0.005,0.18,0.29,0.0086,0.3,1.07,0.029,1.1,0.24,0.038,0.277,0,0,0,0.013,0.06,0.073,0.013,0.06,0.073,0.46,0.056,0.51,-,-,-,0.45,0.056,0.51,0.007,0.0007,0.01,0.46,0.056,0.51,0,0,0,0.0005,0.0164,0.017,0.0043,0.0005,0.0047,0.0027,0.0004,0.0031,0,0.036,0.036,0.29,0.005,0.3
Poland,17.01,22.8,1.31,24.1,2.39,0.067,2.46,0,0,0,7.1,0.37,7.4,3.74,0.1,3.84,0.34,0.009,0.35,0.01,0.012,0.02,0,0,0,2.97,0.247,3.22,2.87,0.333,3.2,0.13,0.053,0.18,2.72,0.136,2.85,0.02,0.129,0.15,0,0.0002,0.0002,0,0,0,0,0.015,0.015,0,0,0,0.58,0.065,0.65,0.07,0.0003,0.07,0,0,0,0.0057,0.0008,0.0065,0.51,0.064,0.574,4.6,0.087,4.69,0.305,0.0065,0.312,1.8,0.05,1.85,1.67,0.0085,1.68,3.77,0.065,3.84,0.829,0.022,0.851,0,0,0,0.032,0.054,0.086,0.031,0.049,0.08,1.4,0.147,1.54,0.309,0.0084,0.318,1.02,0.138,1.16,0.068,0.0002,0.07,1.4,0.147,1.54,0,0,0,0.0005,0.0115,0.012,0.0017,0.0067,0.0085,0,0,0,0.001,0.055,0.056,3.85,0.11,3.96
Portugal,101.96,17.3,1.45,18.8,0.83,0.016,0.84,0,0.00007,0.00007,8.3,0.47,8.8,1.64,0.032,1.67,0.01,0.017,0.02,0.44,0.041,0.48,0,0.0021,0.0021,6.19,0.38,6.57,1.56,0.403,1.96,0.28,0.089,0.37,1.09,0.06,1.15,0.19,0.151,0.34,0,0.0007,0.0007,0.0003,0.0021,0.0023,0,0.1,0.1,0,0.00009,0.00009,0.43,0.071,0.5,0,0,0,0,0,0,0.0018,0.0132,0.015,0.424,0.058,0.482,3.06,0.162,3.22,0.05,0.0078,0.057,1.41,0.043,1.45,1.56,0.0832,1.65,3.02,0.134,3.15,0.04,0.027,0.067,0,0,0,0.002,0.067,0.069,0.002,0.067,0.068,2.05,0.136,2.18,0.136,0.0012,0.137,1.63,0.134,1.76,0.284,0.0014,0.29,2.05,0.136,2.18,0,0,0,0,0.0577,0.0577,0,0.0218,0.0218,0.0246,0.0004,0.025,0,0,0,0.93,0.01,0.94
Romania,35.77,28,-,28,1.1,-,1.1,0.0092,-,0.0092,13.5,-,13.5,5.19,-,5.19,0.87,-,0.87,0.71,-,0.71,0,-,0,6.77,-,6.77,5.27,-,5.27,0.35,-,0.35,3.61,-,3.61,1.27,-,1.27,0.0002,-,0.0002,0,-,-,0.039,-,0.039,0.00037,-,0.00037,0.89,-,0.89,0,-,-,0.006,-,0.006,0,-,-,0.884,-,0.884,3.18,-,3.18,0.246,-,0.246,1.98,-,1.98,0.81,-,0.81,3.03,-,3.03,0.15,-,0.15,0,-,-,0.363,-,0.363,0.323,-,0.323,3.5,-,3.5,0.84,-,0.84,2.6,-,2.6,0.057,-,0.06,3.49,-,3.49,0.009,-,0.009,0.0268,-,0.027,0.0114,-,0.0114,0,-,-,0.034,-,0.034,0.09,-,0.09
Slovakia,24.16,22,2.22,24.2,1.73,0.036,1.77,0,0.00021,0.0002,6.4,0.68,7.1,1.04,0.018,1.05,1.26,0.028,1.29,0,0,0,0,0,0,4.12,0.637,4.76,4.71,0.738,5.45,0.24,0.058,0.29,3.71,0.396,4.11,0.76,0.249,1.01,0,0.0011,0.0011,0,0,0,0.002,0.034,0.036,0,0,0,0.45,0.04,0.49,0.02,0.0003,0.02,0,0,0,0,0,0,0.427,0.04,0.467,6.2,0.152,6.36,0.187,0.002,0.189,2.99,0.078,3.06,2.56,0.0226,2.59,5.74,0.102,5.84,0.468,0.05,0.517,0,0,0,0.009,0.083,0.092,0.009,0.083,0.092,2.4,0.309,2.71,0.31,0.0091,0.319,2.08,0.297,2.37,0.013,0.0031,0.02,2.4,0.309,2.71,0,0,0,0.0012,0.026,0.027,0.0058,0.0083,0.0141,0,0,0,0.017,0.134,0.151,0,0,0
Slovenia,13.96,11.9,1.49,13.3,0.42,0.014,0.43,0,0,0,7,0.6,7.6,2.3,0.03,2.33,1.51,0.055,1.57,0.18,0.115,0.29,0,0,0,2.98,0.399,3.38,0.31,0.305,0.61,0.01,0.09,0.1,0.24,0.06,0.3,0.06,0.078,0.14,0,0.0115,0.0115,0,0.0004,0.0004,0,0.064,0.064,0,0.00088,0.00088,0.79,0.055,0.84,0,0,0,0,0,0,0,0.0097,0.0097,0.788,0.046,0.834,1.85,0.136,1.98,0.095,0.0094,0.105,0.54,0.012,0.55,0.99,0.0747,1.07,1.63,0.096,1.72,0.219,0.04,0.259,0,0,0,0.007,0.054,0.061,0.007,0.054,0.061,1.16,0.221,1.38,0.211,0.0101,0.221,0.82,0.176,0.99,0.127,0.0357,0.16,1.16,0.221,1.38,0,0,0,0,0.0348,0.0348,0.0005,0.0018,0.0023,0,0.0001,0,0,0.049,0.049,0.36,0.011,0.37
Spain,21.17,17.5,-,17.5,0.74,-,0.74,0,-,-,9.8,-,9.8,3.58,-,3.58,0.07,-,0.07,0.19,-,0.19,0,-,0,5.92,-,5.92,1.64,-,1.64,0.01,-,0.01,1.24,-,1.24,0.39,-,0.39,0,-,0,0,-,0,0,-,-,0,-,-,0.27,-,0.27,0,-,0,0,-,-,0.0065,-,0.0065,0.26,-,0.26,2.25,-,2.25,0.089,-,0.089,0.63,-,0.63,1.42,-,1.42,2.15,-,2.15,0.104,-,0.104,0,-,-,0.007,-,0.007,0.007,-,0.007,2.35,-,2.35,0.196,-,0.196,1.93,-,1.93,0.219,-,0.219,2.33,-,2.33,0.0177,-,0,0.0002,-,0.0002,0,-,-,0.0037,-,0.0037,0,-,-,0.14,-,0.14
Sweden,1.99,11.9,1.59,13.5,2.54,0.2,2.74,0,0,0,6,0.84,6.8,1.06,0.187,1.25,3.19,0.226,3.42,1.54,0.319,1.85,0,0,0,0.17,0.109,0.28,0.14,0.162,0.3,0.11,0.006,0.12,0,0.012,0.01,0.03,0.109,0.14,0,0,0,0.0004,0.0001,0.0005,0,0.035,0.035,0,0.00006,0.00006,0.4,0.062,0.46,0.14,0.0123,0.15,0,0,0,0,0.0003,0.0003,0.257,0.05,0.307,0.6,0.068,0.67,0.144,0.0125,0.157,0.05,0.007,0.06,0.09,0.007,0.1,0.28,0.026,0.31,0.316,0.042,0.358,0,0,0,0.006,0.009,0.015,0.006,0.009,0.015,0.68,0.162,0.84,0.009,0.0006,0.01,0.66,0.154,0.81,0.012,0.0072,0.02,0.68,0.162,0.84,0,0,0,0.0014,0.0191,0.02,0.0041,0.0005,0.0047,0.0101,0.0012,0.0114,0,0.018,0.018,0.38,0.026,0.41
UK,10.63,17.9,2.25,20.2,4.98,0.216,5.19,0.0008,0.00091,0.0017,6.7,1.07,7.8,3.54,0.201,3.75,0.85,0.07,0.92,1.51,0.375,1.89,0,0,0,0.81,0.425,1.24,0.28,0.148,0.43,0.25,0.025,0.27,0.02,0.027,0.04,0.01,0.042,0.05,0,0,0,0.0023,0.0044,0.0067,0.007,0.049,0.056,0,0.00002,0.00003,1.32,0.125,1.45,1.19,0.0914,1.28,0,0.0024,0.0024,0.0077,0.0021,0.008,0.124,0.032,0.156,3.1,0.307,3.4,-,-,-,-,-,-,-,-,-,3.04,0.278,3.31,0.062,0.028,0.09,0,0.0002,0.0002,0.034,0.088,0.123,0.034,0.088,0.123,0.46,0.107,0.57,-,-,-,-,-,-,-,-,-,0.46,0.107,0.57,0,0,0,0.0121,0.0748,0.087,0.0338,0.0024,0.0362,0.007,0.0038,0.0108,0.001,0.055,0.056,0.9,0.04,0.94
